State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDHRA PRADESH,ANANTAPUR,DRY CHILLIES,Kharif,2.8730458875243063,2802.3529411764707,7765.235294117647,17,844.1297098854559,1,24,37,0
ANDHRA PRADESH,ANANTAPUR,DRY CHILLIES,Rabi,2.282116489603451,89.3076923076923,199.07692307692307,13,29.46157758606976,1,24,37,1
ANDHRA PRADESH,ANANTAPUR,DRY CHILLIES,Whole Year,1.1077130217349491,5199.0,5759.0,1,1560.464627813041,1,24,37,2
ANDHRA PRADESH,ANANTAPUR,GRAM,Kharif,0.8645833333333333,18.5,15.5,2,6.26875,1,24,41,0
ANDHRA PRADESH,ANANTAPUR,GRAM,Rabi,0.6958926653658506,60583.666666666664,44265.166666666664,18,18177.317535599217,1,24,41,1
ANDHRA PRADESH,ANANTAPUR,GRAPES,Kharif,25.697658422146684,264.6666666666667,6712.0,3,95.11859505328802,1,24,42,0
ANDHRA PRADESH,ANANTAPUR,GRAPES,Whole Year,18.02481294854176,114.5,2061.5,2,45.36488776912506,1,24,42,2
ANDHRA PRADESH,ANANTAPUR,GROUNDNUT,Kharif,0.48755786300993353,732906.3888888889,374758.5,18,219874.00920138444,1,24,43,0
ANDHRA PRADESH,ANANTAPUR,GROUNDNUT,Rabi,1.3831619259342878,19300.38888888889,26554.222222222223,18,5792.7465638222275,1,24,43,1
ANDHRA PRADESH,ANANTAPUR,HORSE-GRAM,Kharif,0.3760983847687221,1574.7058823529412,704.8823529411765,17,474.3374237367435,1,24,45,0
ANDHRA PRADESH,ANANTAPUR,HORSE-GRAM,Rabi,0.483017041039919,1707.8235294117646,899.1176470588235,17,514.3368690481533,1,24,45,1
ANDHRA PRADESH,ANANTAPUR,JOWAR,Kharif,1.2012327422118092,9314.333333333334,9223.055555555555,18,2796.8207396453276,1,24,48,0
ANDHRA PRADESH,ANANTAPUR,JOWAR,Rabi,0.8061002008308341,13909.888888888889,12010.0,18,4175.250326787165,1,24,48,1
ANDHRA PRADESH,ANANTAPUR,KORRA,Kharif,0.41357308653007646,2017.5,1033.1666666666667,6,606.098143851918,1,24,53,0
ANDHRA PRADESH,ANANTAPUR,KORRA,Rabi,0.8489583333333333,98.0,83.5,2,30.109374999999996,1,24,53,1
ANDHRA PRADESH,ANANTAPUR,LEMON,Kharif,7.570290931205496,409.6666666666667,3124.3333333333335,3,127.7421745587233,1,24,55,0
ANDHRA PRADESH,ANANTAPUR,LINSEED,Kharif,0.42857142857142855,7.0,3.0,2,2.5571428571428574,1,24,57,0
ANDHRA PRADESH,ANANTAPUR,LINSEED,Rabi,0.24331272738980647,14.666666666666666,3.5555555555555554,9,5.445987636433884,1,24,57,1
ANDHRA PRADESH,ANANTAPUR,LINSEED,Whole Year,0.42857142857142855,7.0,3.0,1,2.4571428571428573,1,24,57,2
ANDHRA PRADESH,ANANTAPUR,MAIZE,Kharif,2.9358807080571054,9097.111111111111,26339.166666666668,18,2732.6948617581675,1,24,59,0
ANDHRA PRADESH,ANANTAPUR,MAIZE,Rabi,6.859232209872841,3187.777777777778,24019.055555555555,18,962.2488726592569,1,24,59,1
ANDHRA PRADESH,ANANTAPUR,MANGO,Kharif,8.012660767822634,8755.0,67731.0,3,2631.607596460694,1,24,60,0
